test,energy_j,wall_s,n_raw
MolPairStyle_lj_cut_tip4p_long,133.003,7.084769,1
MolPairStyle_lj_cut_tip4p_long_soft,136.096,7.069157,1
MolPairStyle_lj_cut_tip4p_table,124.152,7.299774,1
MolPairStyle_lj_expand,125.692,6.950192,1
MolPairStyle_lj_expand_coul_long,126.161,6.994123,1
MolPairStyle_lj_expand_coul_table,136.85,7.075281,1
MolPairStyle_lj_gromacs,132.412,7.015702,1
MolPairStyle_lj_gromacs_coul_gromacs,133.36,7.102691,1
MolPairStyle_lj_long_coul_long,134.597,7.019508,1
MolPairStyle_lj_long_coul_long_dielectric,444.904,13.337364,1
MolPairStyle_lj_long_coul_off,131.87,7.02517,1
MolPairStyle_lj_long_cut_coul_long,135.294,7.081003,1
MolPairStyle_lj_long_cut_dipole_long,123.834,6.959903,1
MolPairStyle_lj_long_cut_tip4p_long,139.863,7.181792,1
MolPairStyle_lj_long_dipole_long,126.508,7.045686,1
MolPairStyle_lj_long_tip4p_long,320.461,10.845886,1
MolPairStyle_lj_mdf,125.211,6.912178,1
MolPairStyle_lj_pirani,131.983,7.121499,1
MolPairStyle_lj_sf_dipole_sf,126.406,6.951087,1
MolPairStyle_lj_smooth,128.495,6.979952,1
MolPairStyle_lj_smooth_linear,129.07,6.990148,1
MolPairStyle_lj_spica,131.33,7.030305,1
MolPairStyle_lj_spica_coul_long,126.809,7.008233,1
MolPairStyle_lj_spica_coul_msm,134.677,7.500269,1
MolPairStyle_lj_spica_coul_msm_table,142.471,7.563918,1
MolPairStyle_lj_spica_coul_table,122.007,7.200709,1
MolPairStyle_lj_switch3_coulgauss_long,120.086,6.825814,1
MolPairStyle_lj_switch3_coulgauss_table,131.962,7.063694,1
MolPairStyle_lj_table_coul_long,130.295,7.374779,1
MolPairStyle_lj_table_coul_off,130.664,7.391565,1
MolPairStyle_lj_table_coul_table,161.413,7.823472,1
MolPairStyle_lj_table_tip4p_long,372.625,11.806171,1
MolPairStyle_lj_table_tip4p_table,386.102,12.250965,1
MolPairStyle_mie_cut,123.69,6.924286,1
MolPairStyle_mm3_switch3_coulgauss_long,125.655,6.925821,1
MolPairStyle_mm3_switch3_coulgauss_table,131.638,7.043397,1
MolPairStyle_morse,132.565,7.064112,1
MolPairStyle_morse_smooth_linear,132.053,7.047432,1
MolPairStyle_morse_soft,115.584,6.792786,1
MolPairStyle_nm_cut,131.627,6.985322,1
MolPairStyle_nm_cut_coul_cut,131.357,7.011895,1
MolPairStyle_nm_cut_coul_long,126.734,7.007449,1
MolPairStyle_nm_cut_coul_table,121.339,7.191898,1
MolPairStyle_nm_cut_split,121.006,6.847456,1
MolPairStyle_python_hybrid,123.712,6.951227,1
MolPairStyle_python_lj,125.849,6.90496,1
MolPairStyle_soft,126.482,6.955652,1
MolPairStyle_table,560.811,15.546804,1
MolPairStyle_tip4p_cut,126.424,6.954578,1
MolPairStyle_tip4p_long,126.347,6.902348,1
MolPairStyle_tip4p_long_soft,128.034,7.020089,1
MolPairStyle_tip4p_table,127.23,6.95897,1
MolPairStyle_ufm,132.368,7.026637,1
MolPairStyle_wf_cut,121.187,6.914536,1
MolPairStyle_yukawa,123.057,6.840324,1
MolPairStyle_zbl,121.228,6.893119,1
MolPairStyle_zero,125.993,6.928632,1
MoleculeFile,122.762,6.899584,1
NeighborClass,257.499,9.751108,1
PairUnitConvert,156.733,7.749375,1
Platform,68.686,6.272257,1
PotentialFileReader,123.267,6.889967,1
PythonCapabilities,134.759,7.078055,1
PythonCmdWrapper,125.701,6.928881,1
PythonCommands,136.071,7.471677,1
PythonFixExternal,125.929,6.972811,1
PythonFormats,118.075,6.801508,1
PythonNumpy,130.375,7.384784,1
PythonOpen,117.822,6.816792,1
PythonPackage,122.27,7.312878,1
PythonPizza,120.589,6.889977,1
PythonScatterGather,134.866,7.107565,1
Regions,114.217,6.759549,1
ResetAtoms,125.935,6.926239,1
RunCoupleSimpleC,117.01,6.779944,1
RunCoupleSimpleCC,123.423,6.962834,1
RunCoupleSimpleF90,112.007,6.73053,1
RunCoupleSimplePlugin,115.485,6.758193,1
SetProperty,111.36,6.71002,1
SimpleCommands,124.345,6.892443,1
TestPairList,112.005,6.702945,1
TextFileReader,111.718,6.685324,1
Tokenizer,43.64,5.863518,1
Utils,46.126,5.973433,1
Variables,120.406,6.845494,1
