run_id,pr_number,changed_lines_mapped,status,coverable_changed_lines,random_energy_to_80cov_J,random_energy_to_90cov_J,random_energy_to_95cov_J,random_energy_to_100cov_J,greedy_cov_per_second_energy_to_80cov_J,greedy_cov_per_second_suite_size_at_80cov,greedy_cov_per_second_energy_to_90cov_J,greedy_cov_per_second_suite_size_at_90cov,greedy_cov_per_second_energy_to_95cov_J,greedy_cov_per_second_suite_size_at_95cov,greedy_cov_per_second_energy_to_100cov_J,greedy_cov_per_second_suite_size_at_100cov,greedy_cov_per_joule_energy_to_80cov_J,greedy_cov_per_joule_suite_size_at_80cov,greedy_cov_per_joule_energy_to_90cov_J,greedy_cov_per_joule_suite_size_at_90cov,greedy_cov_per_joule_energy_to_95cov_J,greedy_cov_per_joule_suite_size_at_95cov,greedy_cov_per_joule_energy_to_100cov_J,greedy_cov_per_joule_suite_size_at_100cov
19372629240,4779,8,ok,8,37726.47956666667,37726.47956666667,37726.47956666667,37726.47956666667,225.589,2.0,225.589,2.0,225.589,2.0,225.589,2.0,220.504,2.0,220.504,2.0,220.504,2.0,220.504,2.0
19371201781,4771,2,ok,2,72673.23026666668,72673.23026666668,72673.23026666668,72673.23026666668,123.305,1.0,123.305,1.0,123.305,1.0,123.305,1.0,123.305,1.0,123.305,1.0,123.305,1.0,123.305,1.0
19367133424,4764,0,skip_no_changed_lines,0,,,,,,,,,,,,,,,,,,,,
19352477054,4771,2,ok,2,72673.23026666668,72673.23026666668,72673.23026666668,72673.23026666668,123.305,1.0,123.305,1.0,123.305,1.0,123.305,1.0,123.305,1.0,123.305,1.0,123.305,1.0,123.305,1.0
19342081946,4744,0,skip_no_changed_lines,0,,,,,,,,,,,,,,,,,,,,
19319111519,4772,0,skip_no_changed_lines,0,,,,,,,,,,,,,,,,,,,,
19316492011,4779,8,ok,8,37726.47956666667,37726.47956666667,37726.47956666667,37726.47956666667,225.589,2.0,225.589,2.0,225.589,2.0,225.589,2.0,220.504,2.0,220.504,2.0,220.504,2.0,220.504,2.0
19316250886,4779,8,ok,8,37726.47956666667,37726.47956666667,37726.47956666667,37726.47956666667,225.589,2.0,225.589,2.0,225.589,2.0,225.589,2.0,220.504,2.0,220.504,2.0,220.504,2.0,220.504,2.0
19314405319,4779,8,ok,8,37726.47956666667,37726.47956666667,37726.47956666667,37726.47956666667,225.589,2.0,225.589,2.0,225.589,2.0,225.589,2.0,220.504,2.0,220.504,2.0,220.504,2.0,220.504,2.0
19314249086,4779,8,ok,8,37726.47956666667,37726.47956666667,37726.47956666667,37726.47956666667,225.589,2.0,225.589,2.0,225.589,2.0,225.589,2.0,220.504,2.0,220.504,2.0,220.504,2.0,220.504,2.0
19314236729,4764,0,skip_no_changed_lines,0,,,,,,,,,,,,,,,,,,,,
19313903802,4764,0,skip_no_changed_lines,0,,,,,,,,,,,,,,,,,,,,
19311416820,4771,2,ok,2,72673.23026666668,72673.23026666668,72673.23026666668,72673.23026666668,123.305,1.0,123.305,1.0,123.305,1.0,123.305,1.0,123.305,1.0,123.305,1.0,123.305,1.0,123.305,1.0
19311070580,4764,0,skip_no_changed_lines,0,,,,,,,,,,,,,,,,,,,,
19303873612,4764,0,skip_no_changed_lines,0,,,,,,,,,,,,,,,,,,,,
19301539097,4764,0,skip_no_changed_lines,0,,,,,,,,,,,,,,,,,,,,
19296169624,4771,2,ok,2,72673.23026666668,72673.23026666668,72673.23026666668,72673.23026666668,123.305,1.0,123.305,1.0,123.305,1.0,123.305,1.0,123.305,1.0,123.305,1.0,123.305,1.0,123.305,1.0
19288223988,4771,2,ok,2,72673.23026666668,72673.23026666668,72673.23026666668,72673.23026666668,123.305,1.0,123.305,1.0,123.305,1.0,123.305,1.0,123.305,1.0,123.305,1.0,123.305,1.0,123.305,1.0
19286433235,4771,2,ok,2,72673.23026666668,72673.23026666668,72673.23026666668,72673.23026666668,123.305,1.0,123.305,1.0,123.305,1.0,123.305,1.0,123.305,1.0,123.305,1.0,123.305,1.0,123.305,1.0
19285766281,4771,2,ok,2,72673.23026666668,72673.23026666668,72673.23026666668,72673.23026666668,123.305,1.0,123.305,1.0,123.305,1.0,123.305,1.0,123.305,1.0,123.305,1.0,123.305,1.0,123.305,1.0
19285467677,4771,2,ok,2,72673.23026666668,72673.23026666668,72673.23026666668,72673.23026666668,123.305,1.0,123.305,1.0,123.305,1.0,123.305,1.0,123.305,1.0,123.305,1.0,123.305,1.0,123.305,1.0
19283673711,4664,0,skip_no_changed_lines,0,,,,,,,,,,,,,,,,,,,,
19282916606,3764,97,ok,97,22794.987666666675,62877.320600000014,113939.90103333337,113939.90103333337,115.159,1.0,232.63600000000002,2.0,352.927,3.0,352.927,3.0,115.159,1.0,232.63600000000002,2.0,352.927,3.0,352.927,3.0
19281387035,3764,97,ok,97,22794.987666666675,62877.320600000014,113939.90103333337,113939.90103333337,115.159,1.0,232.63600000000002,2.0,352.927,3.0,352.927,3.0,115.159,1.0,232.63600000000002,2.0,352.927,3.0,352.927,3.0
19280943469,4772,0,skip_no_changed_lines,0,,,,,,,,,,,,,,,,,,,,
19279733301,4771,2,ok,2,72673.23026666668,72673.23026666668,72673.23026666668,72673.23026666668,123.305,1.0,123.305,1.0,123.305,1.0,123.305,1.0,123.305,1.0,123.305,1.0,123.305,1.0,123.305,1.0
19279006618,154,0,skip_no_changed_lines,0,,,,,,,,,,,,,,,,,,,,
19271838404,4769,73,ok,73,91549.11653333336,129004.5232666667,129004.5232666667,129004.5232666667,114.217,1.0,238.64600000000002,2.0,238.64600000000002,2.0,238.64600000000002,2.0,114.217,1.0,238.64600000000002,2.0,238.64600000000002,2.0,238.64600000000002,2.0
19271530576,4771,2,ok,2,72673.23026666668,72673.23026666668,72673.23026666668,72673.23026666668,123.305,1.0,123.305,1.0,123.305,1.0,123.305,1.0,123.305,1.0,123.305,1.0,123.305,1.0,123.305,1.0
19271176503,4769,73,ok,73,91549.11653333336,129004.5232666667,129004.5232666667,129004.5232666667,114.217,1.0,238.64600000000002,2.0,238.64600000000002,2.0,238.64600000000002,2.0,114.217,1.0,238.64600000000002,2.0,238.64600000000002,2.0,238.64600000000002,2.0
