run_id,pr_number,changed_lines_mapped,coverable_changed_lines,max_change_cov,pareto_points,status,energy_j_at_80pct,suite_size_at_80pct,energy_j_at_90pct,suite_size_at_90pct,energy_j_at_95pct,suite_size_at_95pct
12898042261,4213,112,112,1.0,1,ok,28867.869,170.0,28867.869,170.0,28867.869,170.0
12897663336,4399,3,3,1.0,1,ok,23868.781,158.0,23868.781,158.0,23868.781,158.0
12896528523,4399,3,3,1.0,1,ok,23868.781,158.0,23868.781,158.0,23868.781,158.0
12892848059,4399,3,3,1.0,1,ok,23868.781,158.0,23868.781,158.0,23868.781,158.0
12891084021,4401,10,10,1.0,1,ok,24783.57,175.0,24783.57,175.0,24783.57,175.0
12880490725,4399,3,3,1.0,1,ok,23868.781,158.0,23868.781,158.0,23868.781,158.0
12877864214,4399,3,3,1.0,1,ok,23868.781,158.0,23868.781,158.0,23868.781,158.0
12876792749,4399,3,3,1.0,1,ok,23868.781,158.0,23868.781,158.0,23868.781,158.0
12874891244,4438,151,151,1.0,1,ok,23135.17,145.0,23135.17,145.0,23135.17,145.0
12857974601,4380,25,25,1.0,1,ok,30171.822,189.0,30171.822,189.0,30171.822,189.0
12855664735,4019,23,23,1.0,1,ok,26298.251000000004,160.0,26298.251000000004,160.0,26298.251000000004,160.0
12849961532,4438,151,151,1.0,1,ok,23135.17,145.0,23135.17,145.0,23135.17,145.0
12848033571,4019,23,23,1.0,1,ok,26298.251000000004,160.0,26298.251000000004,160.0,26298.251000000004,160.0
12846871437,4019,23,23,1.0,1,ok,26298.251000000004,160.0,26298.251000000004,160.0,26298.251000000004,160.0
12838367294,4213,112,112,1.0,1,ok,28867.869,170.0,28867.869,170.0,28867.869,170.0
12835847739,4409,2,2,1.0,1,ok,24270.799,164.0,24270.799,164.0,24270.799,164.0
12835431947,4409,2,2,1.0,1,ok,24270.799,164.0,24270.799,164.0,24270.799,164.0
12830744902,4438,151,151,1.0,1,ok,23135.17,145.0,23135.17,145.0,23135.17,145.0
12827024947,4438,151,151,1.0,1,ok,23135.17,145.0,23135.17,145.0,23135.17,145.0
12821969465,4438,151,151,1.0,1,ok,23135.17,145.0,23135.17,145.0,23135.17,145.0
12819308805,4213,112,112,1.0,1,ok,28867.869,170.0,28867.869,170.0,28867.869,170.0
12818053178,4435,37,37,1.0,1,ok,26676.301000000003,152.0,26676.301000000003,152.0,26676.301000000003,152.0
12813507580,4438,151,151,1.0,1,ok,23135.17,145.0,23135.17,145.0,23135.17,145.0
12812133101,4438,151,151,1.0,1,ok,23135.17,145.0,23135.17,145.0,23135.17,145.0
12801983467,4438,151,151,1.0,1,ok,23135.17,145.0,23135.17,145.0,23135.17,145.0
