run_id,pr_number,changed_lines_mapped,status,coverable_changed_lines,random_energy_to_80cov_J,random_energy_to_90cov_J,random_energy_to_95cov_J,random_energy_to_100cov_J,greedy_cov_per_second_energy_to_80cov_J,greedy_cov_per_second_energy_to_90cov_J,greedy_cov_per_second_energy_to_95cov_J,greedy_cov_per_second_energy_to_100cov_J,greedy_cov_per_joule_energy_to_80cov_J,greedy_cov_per_joule_energy_to_90cov_J,greedy_cov_per_joule_energy_to_95cov_J,greedy_cov_per_joule_energy_to_100cov_J
16170184297,154,0,skip_no_changed_lines,0,,,,,,,,,,,,
16156642814,4608,3,ok,3,,,,,,,,,,,,
16156515846,4638,0,skip_no_changed_lines,0,,,,,,,,,,,,
16156062512,4608,3,ok,3,,,,,,,,,,,,
16155975789,4608,3,ok,3,,,,,,,,,,,,
16155897063,4638,0,skip_no_changed_lines,0,,,,,,,,,,,,
16155543490,4638,0,skip_no_changed_lines,0,,,,,,,,,,,,
16153481634,4650,29,ok,29,87916.08853333336,126318.84016666669,142620.78623333338,166634.29220000005,1500.6660000000002,3198.1130000000003,3827.161,4883.9349999999995,1831.9160000000002,3032.746,3827.161,4883.9349999999995
16149466667,4608,3,ok,3,,,,,,,,,,,,
16143594195,4651,23,ok,23,331.26643333333334,10064.6977,71986.1153,71986.1153,120.406,120.406,120.406,120.406,120.406,120.406,120.406,120.406
16143017908,4651,23,ok,23,331.26643333333334,10064.6977,71986.1153,71986.1153,120.406,120.406,120.406,120.406,120.406,120.406,120.406,120.406
16140991626,4651,23,ok,23,331.26643333333334,10064.6977,71986.1153,71986.1153,120.406,120.406,120.406,120.406,120.406,120.406,120.406,120.406
16138354058,4651,23,ok,23,331.26643333333334,10064.6977,71986.1153,71986.1153,120.406,120.406,120.406,120.406,120.406,120.406,120.406,120.406
16136281096,4651,23,ok,23,331.26643333333334,10064.6977,71986.1153,71986.1153,120.406,120.406,120.406,120.406,120.406,120.406,120.406,120.406
16135390745,4650,29,ok,29,87916.08853333336,126318.84016666669,142620.78623333338,166634.29220000005,1500.6660000000002,3198.1130000000003,3827.161,4883.9349999999995,1831.9160000000002,3032.746,3827.161,4883.9349999999995
16131814000,4651,23,ok,23,331.26643333333334,10064.6977,71986.1153,71986.1153,120.406,120.406,120.406,120.406,120.406,120.406,120.406,120.406
16131682799,4651,23,ok,23,331.26643333333334,10064.6977,71986.1153,71986.1153,120.406,120.406,120.406,120.406,120.406,120.406,120.406,120.406
16126389716,4638,0,skip_no_changed_lines,0,,,,,,,,,,,,
16125224676,4638,0,skip_no_changed_lines,0,,,,,,,,,,,,
16123028162,4651,23,ok,23,331.26643333333334,10064.6977,71986.1153,71986.1153,120.406,120.406,120.406,120.406,120.406,120.406,120.406,120.406
16122823951,4650,29,ok,29,87916.08853333336,126318.84016666669,142620.78623333338,166634.29220000005,1500.6660000000002,3198.1130000000003,3827.161,4883.9349999999995,1831.9160000000002,3032.746,3827.161,4883.9349999999995
16115338834,4650,29,ok,29,87916.08853333336,126318.84016666669,142620.78623333338,166634.29220000005,1500.6660000000002,3198.1130000000003,3827.161,4883.9349999999995,1831.9160000000002,3032.746,3827.161,4883.9349999999995
16114731229,4651,23,ok,23,331.26643333333334,10064.6977,71986.1153,71986.1153,120.406,120.406,120.406,120.406,120.406,120.406,120.406,120.406
16114676550,4650,29,ok,29,87916.08853333336,126318.84016666669,142620.78623333338,166634.29220000005,1500.6660000000002,3198.1130000000003,3827.161,4883.9349999999995,1831.9160000000002,3032.746,3827.161,4883.9349999999995
16113554645,4651,23,ok,23,331.26643333333334,10064.6977,71986.1153,71986.1153,120.406,120.406,120.406,120.406,120.406,120.406,120.406,120.406
16101754641,4650,29,ok,29,87916.08853333336,126318.84016666669,142620.78623333338,166634.29220000005,1500.6660000000002,3198.1130000000003,3827.161,4883.9349999999995,1831.9160000000002,3032.746,3827.161,4883.9349999999995
16097563784,4650,29,ok,29,87916.08853333336,126318.84016666669,142620.78623333338,166634.29220000005,1500.6660000000002,3198.1130000000003,3827.161,4883.9349999999995,1831.9160000000002,3032.746,3827.161,4883.9349999999995
16097510433,4651,23,ok,23,331.26643333333334,10064.6977,71986.1153,71986.1153,120.406,120.406,120.406,120.406,120.406,120.406,120.406,120.406
16096842068,4651,23,ok,23,331.26643333333334,10064.6977,71986.1153,71986.1153,120.406,120.406,120.406,120.406,120.406,120.406,120.406,120.406
